url,zip_code,store_id,shipping_type,max_product
https://www.walmart.com/browse/home/shop-bowls/4044_623679_3480962_3999334?povid=Home_Hubspoke_CookDine_639999DiningEntertaining_Category_BTF_Bowls,20011,,,900
https://www.walmart.com/shop/mothers-day-home-gifts?povid=XCATNav_EvergreenGifting_Mothersdaygifting_Mothersdaygiftfinder__Visualfacet_Home,20011,,delivey,
