zip,lat,lon
00501,40.922326,-72.637078
00544,40.922326,-72.637078
00604,18.49352,-67.135883
00605,18.465162,-67.141486
00613,18.458093,-66.732732
00614,18.429675,-66.674506
00681,18.219023,-67.508068
00721,18.364161,-65.778288
00726,18.212965,-66.058033
00732,18.021781,-66.613742
00733,18.019331,-66.619165
00734,17.999499,-66.643934
00737,18.102967,-66.139274
00742,18.264872,-65.594769
00744,18.206329,-65.743058
00785,18.018822,-66.795603
00792,18.138029,-65.788499
00801,18.322285,-64.963715
00803,18.322285,-64.963715
00804,18.322285,-64.963715
00805,18.322285,-64.963715
00821,17.734211,-64.734694
00822,17.734211,-64.734694
00823,17.734211,-64.734694
00824,17.734211,-64.734694
00831,18.32816,-64.740737
00841,17.734211,-64.734694
00902,18.410462,-66.060533
00908,18.410462,-66.060533
00910,18.410462,-66.060533
00914,18.410462,-66.060533
00916,18.410462,-66.060533
00919,18.410462,-66.060533
00922,18.410462,-66.060533
00928,18.410462,-66.060533
00929,18.410462,-66.060533
00930,18.410462,-66.060533
00931,18.410462,-66.060533
00933,18.410462,-66.060533
00935,18.410462,-66.060533
00936,18.410462,-66.060533
00937,18.410462,-66.060533
00938,18.410462,-66.060533
00939,18.410462,-66.060533
00940,18.410462,-66.060533
00954,18.358939,-66.258108
00955,18.410462,-66.060533
00958,18.34487,-66.166014
00963,18.443217,-66.139293
00970,18.359143,-66.112295
00975,18.410462,-66.060533
00977,18.337004,-65.990099
00978,18.337004,-65.990099
00981,18.410462,-66.060533
00984,18.393355,-65.972495
00986,18.393355,-65.972495
00988,18.393355,-65.972495
01004,42.384494,-72.513183
01014,42.170731,-72.604842
01021,42.170731,-72.604842
01041,42.170731,-72.604842
01059,42.369562,-72.63599
01061,42.369562,-72.63599
01086,42.173428,-72.847964
01090,42.170731,-72.604842
01101,42.170731,-72.604842
01102,42.170731,-72.604842
01111,42.170731,-72.604842
01114,42.170731,-72.604842
01115,42.102894,-72.591633
01116,42.170731,-72.604842
01133,42.170731,-72.604842
01138,42.170731,-72.604842
01139,42.170731,-72.604842
01152,42.170731,-72.604842
01199,42.119943,-72.604983
01202,42.3929,-73.228483
01203,42.3929,-73.228483
01227,42.516145,-73.092852
01252,42.198648,-73.446234
01263,42.3929,-73.228483
01302,42.522178,-72.624164
01369,42.522178,-72.624164
01441,42.364807,-71.896868
01467,42.487056,-71.613078
01470,42.446396,-71.459405
01471,42.446396,-71.459405
01472,42.446396,-71.459405
01477,42.364807,-71.896868
01508,42.109748,-72.079455
01509,42.364807,-71.896868
01517,42.364807,-71.896868
01526,42.364807,-71.896868
01538,42.364807,-71.896868
01546,42.364807,-71.896868
01580,42.364807,-71.896868
01582,42.364807,-71.896868
01586,42.364807,-71.896868
01601,42.265275,-71.879415
01613,42.293316,-71.801971
01614,42.364807,-71.896868
01615,42.364807,-71.896868
01653,42.364807,-71.896868
01654,42.364807,-71.896868
01655,42.364807,-71.896868
01703,42.446396,-71.459405
01704,42.446396,-71.459405
01705,42.446396,-71.459405
01784,42.446396,-71.459405
01805,42.446396,-71.459405
01806,42.446396,-71.459405
01807,42.446396,-71.459405
01808,42.446396,-71.459405
01812,42.647191,-71.184202
01813,42.446396,-71.459405
01815,42.446396,-71.459405
01822,42.446396,-71.459405
01831,42.771095,-71.122054
01842,42.635443,-70.879123
01853,42.446396,-71.459405
01865,42.446396,-71.459405
01866,42.446396,-71.459405
01885,42.635443,-70.879123
01888,42.446396,-71.459405
01889,42.571633,-71.109646
01899,42.635443,-70.879123
01903,42.635443,-70.879123
01910,42.454796,-70.974694
01931,42.635443,-70.879123
01936,42.635443,-70.879123
01961,42.635443,-70.879123
01971,42.635443,-70.879123
02018,41.970474,-70.701357
02020,42.081825,-70.643868
02027,42.180048,-71.08923
02031,41.998799,-71.200894
02040,41.970474,-70.701357
02041,42.069642,-70.649075
02044,41.970474,-70.701357
02051,42.151202,-70.734146
02055,41.970474,-70.701357
02059,41.970474,-70.701357
02060,41.970474,-70.701357
02065,42.097219,-70.651567
02070,42.180048,-71.08923
02101,42.370567,-71.026964
02102,42.338947,-70.919635
02103,42.338947,-70.919635
02104,42.338947,-70.919635
02105,42.338947,-70.919635
02106,42.354318,-71.073449
02107,42.338947,-70.919635
02112,42.338947,-70.919635
02117,42.338947,-70.919635
02123,42.338947,-70.919635
02137,42.338947,-70.919635
02153,42.446396,-71.459405
02156,42.446396,-71.459405
02177,42.446396,-71.459405
02185,42.180048,-71.08923
02187,42.180048,-71.08923
02196,42.338947,-70.919635
02201,42.338947,-70.919635
02202,42.361094,-71.061814
02204,42.338947,-70.919635
02206,42.338947,-70.919635
02207,42.338947,-70.919635
02208,42.338947,-70.919635
02209,42.338947,-70.919635
02211,42.338947,-70.919635
02212,42.446396,-71.459405
02216,42.338947,-70.919635
02217,42.338947,-70.919635
02222,42.364381,-71.063314
02228,42.375,-71.03972
02238,42.446396,-71.459405
02239,42.446396,-71.459405
02241,42.338947,-70.919635
02266,42.338947,-70.919635
02269,42.180048,-71.08923
02283,42.338947,-70.919635
02284,42.338947,-70.919635
02293,42.338947,-70.919635
02295,42.338947,-70.919635
02297,42.338947,-70.919635
02303,41.970474,-70.701357
02304,41.970474,-70.701357
02305,41.970474,-70.701357
02327,42.040708,-70.827245
02331,41.970474,-70.701357
02334,42.023528,-71.132397
02337,42.022225,-70.931588
02340,42.123534,-70.851048
02344,41.970474,-70.701357
02345,41.888198,-70.581029
02348,41.970474,-70.701357
02349,41.970474,-70.701357
02355,41.916918,-70.801331
02358,41.95351,-70.713109
02361,41.970474,-70.701357
02362,41.970474,-70.701357
02381,41.931602,-70.561051
02447,42.180048,-71.08923
02454,42.356719,-71.250479
02455,42.404644,-71.234086
02456,42.446396,-71.459405
02471,42.446396,-71.459405
02475,42.446396,-71.459405
02477,42.446396,-71.459405
02479,42.446396,-71.459405
02495,42.446396,-71.459405
02541,41.799312,-70.308662
02552,41.379836,-70.643092
02565,41.799312,-70.308662
02573,41.379836,-70.643092
02574,41.603946,-70.638189
02634,41.799312,-70.308662
02636,41.799312,-70.308662
02651,41.824264,-69.98176
02661,41.686205,-70.032858
02662,41.756694,-69.984123
02669,41.698721,-70.004937
02712,41.756214,-71.067062
02714,41.756214,-71.067062
02722,41.756214,-71.067062
02741,41.756214,-71.067062
02742,41.619557,-70.956346
02761,41.756214,-71.067062
02768,41.756214,-71.067062
02783,41.756214,-71.067062
02801,41.530131,-71.284066
02854,41.375317,-71.64393
02862,41.86125,-71.369099
02877,41.5289,-71.529854
02880,41.375317,-71.64393
02883,41.375317,-71.64393
02887,41.682455,-71.557732
02901,41.82275,-71.414451
02902,41.81835,-71.424851
02940,41.871766,-71.558518
03040,43.005895,-71.013202
03041,43.005895,-71.013202
03061,42.952124,-71.653939
03073,43.005895,-71.013202
03105,42.952124,-71.653939
03107,42.952124,-71.653939
03108,42.952124,-71.653939
03111,42.952124,-71.653939
03232,43.967542,-71.840883
03247,43.588972,-71.445452
03252,43.468562,-71.537145
03272,43.310279,-71.662928
03274,43.967542,-71.840883
03289,43.496372,-71.519728
03298,43.524872,-71.445841
03299,43.524872,-71.445841
03302,43.310279,-71.662928
03305,43.2134,-71.517151
03435,42.947098,-72.243029
03468,42.890804,-71.933396
03469,42.87341,-72.31509
03587,44.695648,-71.387387
03589,44.695648,-71.387387
03746,43.364504,-72.193966
03749,43.579573,-72.08541
03754,43.365618,-72.125562
03756,43.967542,-71.840883
03769,43.786267,-72.120468
03802,43.005895,-71.013202
03803,42.92703,-71.444752
03804,43.005895,-71.013202
03805,43.285282,-70.930684
03815,43.253739,-71.109825
03821,43.326734,-71.028427
03822,43.326734,-71.028427
03843,43.005895,-71.013202
03859,42.861915,-71.04002
03866,43.41176,-71.027303
03896,43.589157,-71.218894
04004,43.365658,-70.604379
04007,43.45813,-70.505301
04013,44.408078,-70.470703
04014,43.365658,-70.604379
04016,44.180965,-70.891727
04028,43.732391,-70.845114
04033,44.408078,-70.470703
04034,44.408078,-70.470703
04053,44.408078,-70.470703
04054,43.276341,-70.597752
04070,43.576983,-70.273642
04075,43.796053,-70.552183
04077,43.910029,-70.524524
04078,43.820774,-70.120781
04081,44.566156,-70.661557
04082,44.408078,-70.470703
04094,43.406101,-70.573255
04098,44.408078,-70.470703
04104,43.84649,-70.464839
04112,44.408078,-70.470703
04116,44.408078,-70.470703
04122,44.408078,-70.470703
04123,44.408078,-70.470703
04124,44.408078,-70.470703
04211,44.197009,-70.239485
04212,44.197009,-70.239485
04223,44.023873,-70.285748
04225,44.602705,-70.22651
04228,44.197009,-70.239485
04230,44.062672,-70.327049
04241,44.197009,-70.239485
04243,44.197009,-70.239485
04262,45.063384,-70.381639
04266,44.357987,-70.255783
04278,44.377031,-70.568041
04283,44.197009,-70.239485
04288,44.197009,-70.239485
04291,44.040857,-70.453006
04332,44.414056,-69.751913
04333,44.414056,-69.751913
04336,44.315693,-69.818009
04338,44.414056,-69.751913
04343,44.414056,-69.751913
04402,45.519867,-68.647416
04420,44.412968,-68.798047
04423,45.039478,-68.529182
04467,45.519867,-68.647416
04536,44.021333,-69.523263
04549,44.021333,-69.523263
04552,44.021333,-69.523263
04565,43.773312,-69.863461
04567,43.900856,-69.859541
04615,44.641873,-68.391481
04629,44.641873,-68.391481
04637,45.185635,-67.601026
04644,44.641873,-68.391481
04656,44.641873,-68.391481
04665,44.641873,-68.391481
04672,44.413523,-68.251778
04690,44.641873,-68.391481
04738,46.516166,-68.886826
04741,46.516166,-68.886826
04744,46.516166,-68.886826
04751,46.892918,-67.9643
04759,46.516166,-68.886826
04770,46.516166,-68.886826
04775,46.516166,-68.886826
04782,45.519867,-68.647416
04788,46.516166,-68.886826
04846,44.131005,-69.091111
04850,44.478694,-69.149559
04857,43.995024,-69.198524
04865,44.192369,-69.121139
04903,44.549225,-69.713178
04933,45.519867,-68.647416
04935,44.414056,-69.751913
04954,45.575731,-69.909773
04962,44.479288,-69.622006
04972,44.478694,-69.149559
05047,43.672103,-72.355539
05049,43.592039,-72.588407
05054,43.995961,-72.411393
05074,43.995961,-72.411393
05085,43.995961,-72.411393
05144,43.592039,-72.588407
05159,43.093972,-72.456492
05302,42.99467,-72.720362
05303,42.99467,-72.720362
05304,42.99467,-72.720362
05357,42.957233,-72.62408
05402,44.442117,-73.082525
05406,44.442117,-73.082525
05407,44.442117,-73.082525
05449,44.442117,-73.082525
05451,44.50835,-73.050271
05453,44.442117,-73.082525
05460,44.974765,-73.105205
05466,44.362504,-73.019801
05469,44.240375,-73.134702
05470,44.824855,-72.895849
05479,44.824855,-72.895849
05490,44.504656,-72.885253
05501,42.647191,-71.184202
05544,42.647191,-71.184202
05601,44.19906,-72.559638
05603,44.156554,-72.655892
05604,44.259518,-72.585018
05609,44.259518,-72.585018
05620,44.259518,-72.585018
05633,44.259518,-72.585018
05657,44.599905,-72.647519
05662,44.442001,-72.718759
05665,44.67307,-72.597057
05671,44.259518,-72.585018
05702,43.412792,-72.990632
05740,43.97153,-73.091416
05741,43.592039,-72.818121
05745,43.592039,-72.818121
05750,43.599381,-73.25104
05823,45.005783,-72.138347
05838,44.468494,-71.930077
05848,44.382103,-71.919518
05849,44.497557,-71.950519
05861,44.46239,-72.135804
05863,44.503403,-71.972088
06006,41.879637,-72.734271
06011,41.791776,-72.718832
06025,41.688896,-72.534482
06028,41.859248,-72.603033
06030,41.791776,-72.718832
06034,41.791776,-72.718832
06041,41.794681,-72.564832
06045,41.791776,-72.718832
06049,41.791776,-72.718832
06050,41.666049,-72.778391
06064,41.791776,-72.718832
06075,41.81152,-72.308779
06077,41.991645,-72.257735
06083,41.791776,-72.718832
06087,41.757616,-72.884953
06094,41.896321,-73.146312
06101,41.78007,-72.677099
06102,41.791776,-72.718832
06104,41.791776,-72.718832
06115,41.758849,-72.679387
06123,41.791776,-72.718832
06126,41.791776,-72.718832
06127,41.791776,-72.718832
06128,41.791776,-72.718832
06129,41.791776,-72.718832
06131,41.791776,-72.718832
06132,41.791776,-72.718832
06133,41.791776,-72.718832
06134,41.791776,-72.718832
06137,41.791776,-72.718832
06138,41.791776,-72.718832
06140,41.791776,-72.718832
06141,41.791776,-72.718832
06142,41.791776,-72.718832
06143,41.791776,-72.718832
06144,41.791776,-72.718832
06145,41.791776,-72.718832
06146,41.791776,-72.718832
06147,41.791776,-72.718832
06150,41.791776,-72.718832
06151,41.791776,-72.718832
06152,41.791776,-72.718832
06153,41.791776,-72.718832
06154,41.771499,-72.686687
06155,41.76928,-72.686465
06156,41.767949,-72.690687
06160,41.766499,-72.693337
06161,41.766049,-72.671837
06167,41.791776,-72.718832
06176,41.791776,-72.718832
06180,41.791776,-72.718832
06183,41.763849,-72.673037
06199,41.927447,-72.680386
06230,41.847302,-72.02528
06233,41.831565,-72.020137
06244,41.984327,-71.981045
06245,42.019776,-71.941669
06246,41.971116,-71.891732
06251,41.799326,-72.306526
06265,41.81152,-72.308779
06267,41.943902,-71.945253
06337,41.559873,-71.889199
06349,41.39973,-72.090357
06372,41.388216,-71.949548
06383,41.601648,-72.04037
06386,41.464758,-72.127301
06388,41.344098,-71.976467
06404,41.165097,-73.129186
06408,41.365709,-72.927507
06411,41.550097,-72.922235
06430,41.175173,-73.282408
06431,41.219093,-73.252696
06432,41.196046,-73.252802
06436,41.308873,-73.363661
06440,41.308873,-73.363661
06454,41.365709,-72.927507
06474,41.464758,-72.127301
06487,41.365709,-72.927507
06490,41.143396,-73.289859
06491,41.386646,-73.187207
06493,41.365709,-72.927507
06494,41.365709,-72.927507
06495,41.365709,-72.927507
06497,41.207146,-73.130503
06501,41.365709,-72.927507
06502,41.365709,-72.927507
06503,41.365709,-72.927507
06504,41.365709,-72.927507
06505,41.305721,-72.779901
06506,41.365709,-72.927507
06507,41.365709,-72.927507
06508,41.365709,-72.927507
06509,41.365709,-72.927507
06520,41.365709,-72.927507
06521,41.365709,-72.927507
06530,41.365709,-72.927507
06531,41.365709,-72.927507
06532,41.365709,-72.927507
